#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-108.672027,1919,1523.450178
-87.829324,1693,1526.501585
8.883498,2000,1529.810395
-7.776773,2000,1533.100472
-18.432831,2000,1536.492011
-89.367008,298,1536.831833
-91.528184,334,1537.205593
24.726418,2000,1540.517078
-53.492532,2000,1543.782362
-89.222139,274,1545.155463
-27.923381,2000,1548.329801
-52.740192,2000,1551.567683
-88.623639,268,1551.880582
-91.51485,361,1552.280121
-51.115909,2000,1555.565282
36.888834,2000,1558.752396
-89.84727,295,1559.064717
-50.380754,2000,1562.417437
-93.199172,396,1562.873431
-54.084305,2000,1566.244652
-52.803211,2000,1569.5279
-93.96477,442,1569.99149
-51.962504,2000,1573.240871
-87.32813,1911,1576.345929
-51.531548,2000,1579.752211
-83.984068,1384,1582.284009
-5.954866,2000,1585.663098
-52.292656,2000,1589.129632
-89.023074,302,1589.486787
-50.95624,2000,1592.836146
-50.571688,2000,1596.095108
-93.156574,1869,1599.245158
-89.391829,288,1599.578274
2.79126,2000,1602.925461
-91.980988,358,1603.330804
-88.614208,228,1603.583648
-89.051416,277,1603.87681
-87.337572,175,1604.055953
-19.529669,2000,1607.207917
-23.281487,2000,1610.439447
-88.351074,280,1611.89651
-50.297624,2000,1614.151103
-21.931114,2000,1617.576028
-24.31097,2000,1621.026919
8.21335,2000,1624.304861
1.238147,2000,1627.560062
-88.436622,247,1628.949284
-86.922852,207,1629.190052
-87.79883,245,1629.482073
-46.757133,2000,1632.890786
-66.574398,1164,1634.197946
-88.361466,273,1634.506495
-45.417748,2000,1637.802922
-84.941718,1486,1640.616771
-87.096816,229,1640.871463
-45.427377,2000,1644.026604
-75.778887,1034,1646.203817
-88.971693,263,1646.487177
-47.369832,2000,1649.622362
-89.004106,275,1649.918805
-88.685226,279,1650.219587
-71.328002,1128,1652.488798
-12.313976,2000,1655.731344
34.264541,2000,1659.121887
-47.967682,2000,1662.57363
-87.465188,225,1662.828142
-87.101113,193,1663.045549
-87.995454,223,1663.297374
-88.757199,266,1663.594558
-89.298357,265,1663.89304
-61.90933,519,1664.461522
-88.484202,238,1665.867805
-51.96244,2000,1668.119736
-85.486322,157,1669.442005
-47.101321,2000,1672.731212
34.652051,2000,1675.955273
-16.60613,2000,1678.073242
-46.305887,2000,1681.435221
46.369575,2000,1684.910589
32.821319,2000,1688.555496
-48.351555,2000,1692.265256
-49.423885,2000,1695.948914
-14.500982,2000,1699.558585
-50.679967,2000,1703.116361
-90.006479,281,1703.467091
-89.137351,249,1705.028089
-48.018045,2000,1708.782153
-47.767821,2000,1712.539196
-88.088357,218,1712.823282
-68.904817,1664,1714.944212
-21.762771,2000,1719.541635
-46.193253,2000,1724.006882
-14.218698,2000,1728.567493
-80.701606,1451,1732.152936
-45.391467,2000,1735.575546
-4.484984,2000,1738.983163
-88.321349,215,1739.228847
-73.777906,947,1741.413367
-49.117515,2000,1744.690122
-95.171201,468,1745.176485
-50.216409,2000,1748.479694
-4.116653,2000,1751.786109
-97.075416,179,1751.974241
-95.865921,432,1752.41942
-49.091988,2000,1755.738881
-76.054471,868,1756.658305
-117.662201,157,1757.919269
-87.251495,199,1758.137896
17.599012,2000,1761.460659
-71.373329,1033,1762.603148
-14.077466,2000,1765.86376
-52.157557,2000,1769.184929
-6.595852,2000,1772.646226
-51.897296,2000,1775.920762
53.011861,2000,1779.256269
-89.059918,246,1779.538099
-63.551205,981,1781.756888
-86.390416,166,1781.945366
-53.359685,2000,1785.301873
-75.204876,920,1786.355408
-53.980108,2000,1789.6818
-38.888922,1340,1792.272555
-85.245463,184,1792.47943
-54.147261,2000,1795.870606
-54.690534,2000,1799.159165
-53.660707,2000,1802.485567
-53.264145,2000,1805.786619
-49.825351,1428,1807.313127
-86.877607,201,1808.610451
-91.177401,350,1808.991767
45.929402,2000,1812.25454
-50.9805,2000,1815.493247
19.714189,2000,1818.664716
-87.130914,208,1818.884538
-51.74412,2000,1822.16903
-4.026825,2000,1825.550649
-88.750686,236,1825.821015
54.247621,2000,1829.109221
-88.79255,262,1829.383863
-54.664747,2000,1832.55576
-16.574092,2000,1835.859591
-87.925632,210,1836.098704
-92.287624,324,1836.454536
-87.103312,235,1836.714124
-119.978291,118,1836.849641
-54.121426,2000,1840.006024
-55.246114,2000,1843.17449
-75.936903,1307,1845.626091
-51.227608,2000,1848.838312
-97.662775,179,1849.027773
-53.204533,2000,1852.475482
-112.672961,78,1852.57088
-87.195474,206,1852.80416
13.059197,1898,1856.081855
-87.68394,207,1856.315115
-114.044447,98,1856.42538
-104.350046,52,1856.486075
-52.558106,2000,1859.756835
23.220248,2000,1863.138633
-50.468362,2000,1866.462369
-53.25366,2000,1869.65529
-117.509083,135,1869.809513
-90.804329,299,1870.14027
-50.634621,2000,1873.327295
